Prestamos,Depositos,Tasa,Arrendamientos,Activos
185.2441,824.9563,6.25,572.8276,998.7301
185.6415,816.6438,6.25,572.9173,995.1166
188.6856,826.8611,6.25,580.7798,1008.445
190.8146,839.9978,6.25,588.4986,1020.9567
192.3256,841.0093,6.41,596.5757,1026.6185
194.4152,854.7574,6.75,605.5888,1040.8213
195.6038,862.8736,6.75,611.9314,1048.6193
196.6906,859.5661,6.83,620.8495,1049.1049
198.3613,872.9858,7.13,628.8028,1067.4002
201.0796,883.118,7.52,637.3113,1078.623
203.4546,893.7309,7.75,645.3056,1092.8873
206.257,915.1097,7.75,654.5806,1115.5607
206.6353,911.1,7.93,657.2847,1109.8806
208.4025,910.7821,8,658.2275,1111.1346
213.1628,918.2831,8,669.0189,1123.4785
217.5603,935.1724,8,679.7377,1145.8047
221.1009,937.4443,8.27,690.4511,1157.3087
224.5662,951.2422,8.63,704.4044,1173.2418
226.6036,958.3392,9,713.7002,1179.5364
227.3256,953.1051,9.01,719.5976,1180.8822
229.6191,975.3238,9.41,731.3384,1206.468
232.7608,981.762,9.94,742.9687,1220.7905
236.4056,991.8649,10.94,755.5541,1243.5758
239.2864,1014.0006,11.55,768.5956,1270.3589
241.3979,1004.3837,11.75,770.6568,1274.9073
244.1508,998.5918,11.75,772.5901,1276.2095
248.398,997.7997,11.75,782.4552,1287.0473
254.4555,1012.6636,11.75,794.9814,1318.5448
258.4396,1002.3273,11.75,803.6287,1320.8192
262.6401,1018.6628,11.65,819.3978,1351.1155
266.1211,1028.3984,11.54,829.7582,1366.6419
268.4277,1024.9897,11.91,838.9338,1373.8043
274.0356,1055.6945,12.9,857.7716,1418.8553
276.4782,1065.1491,14.39,862.1576,1431.3986
277.398,1070.3877,15.55,859.7573,1431.3514
281.4954,1087.7614,15.3,869.8409,1452.598
283.6114,1081.7488,15.25,871.0143,1448.0127
285.8963,1085.7162,15.63,874.8329,1460.8291
289.9499,1090.7426,18.31,881.1491,1468.4482
291.3123,1102.0565,19.77,880.584,1481.9576
287.5517,1093.9884,16.57,870.9169,1478.21
286.2175,1103.646,12.63,870.1504,1488.1984
286.4328,1107.9095,11.48,872.3104,1495.2406
289.1626,1115.2208,11.12,881.7069,1507.6607
294.5091,1136.4337,12.23,891.9525,1532.4107
300.3151,1154.2074,13.79,904.0543,1553.0399
307.5325,1179.7571,16.06,918.2187,1582.8711
313.8952,1201.4267,20.35,933.6759,1610.291
314.018,1199.7746,20.16,934.4352,1607.3794
313.1112,1201.3091,19.43,930.5366,1614.0155
315.0266,1209.2971,18.05,932.9521,1628.0516
319.153,1226.3416,17.15,940.6611,1652.9369
323.8737,1227.5426,19.61,951.6411,1655.9287
327.5085,1248.1003,20.03,961.4284,1682.6376
330.4298,1242.6352,20.39,964.9402,1675.3799
334.109,1254.1391,20.5,973.6513,1687.1752
337.7755,1272.8097,20.08,985.1441,1715.7352
341.4819,1230.482,18.45,991.9789,1676.184
345.6835,1245.1174,16.84,1000.3202,1707.615
352.2077,1265.2645,15.75,1001.5853,1720.59
356.088,1261.6217,15.75,1001.769,1715.5113
360.4093,1258.4062,16.56,1006.0789,1718.3543
364.6958,1264.8217,16.5,1012.5772,1726.087
371.6406,1278.0542,16.5,1023.1197,1738.7613
376.083,1281.7048,16.5,1029.889,1747.2539
380.188,1294.1827,16.5,1039.4329,1761.3418
383.0052,1303.7881,16.26,1043.1194,1766.5316
383.4621,1316.2548,14.39,1047.9419,1783.9388
390.5845,1331.9564,13.5,1058.575,1803.1798
392.3137,1346.6119,12.52,1065.6977,1823.1668
392.057,1352.7196,11.85,1065.9651,1831.0205
393.9294,1383.9255,11.5,1074.9136,1867.6685
393.8202,1389.4421,11.16,1072.6832,1870.9009
392.74,1393.3126,10.98,1068.0232,1862.5926
394.7152,1399.7039,10.5,1071.8825,1866.0777
393.1306,1413.795,10.5,1075.7861,1880.1628
392.0703,1416.3669,10.5,1078.3288,1886.958
393.9743,1429.9213,10.5,1089.087,1900.9822
397.2038,1437.2264,10.5,1097.8877,1918.7117
399.2597,1434.9265,10.89,1108.4192,1920.5734
401.8394,1446.7668,11,1119.5323,1937.3899
405.1769,1461.8455,11,1131.3814,1963.9651
409.4961,1473.97,11,1145.2095,1980.8572
415.685,1498.1335,11,1162.8888,2013.1579
415.6482,1496.7731,11,1161.9235,2023.2215
422.8949,1490.3051,11,1175.1033,2021.3962
432.1394,1498.737,11.21,1185.4547,2031.189
438.9105,1519.5339,11.93,1203.6883,2067.3049
447.4604,1527.1273,12.39,1221.5031,2084.8831
451.703,1546.9897,12.6,1236.7385,2102.2901
455.3442,1557.0812,13,1248.7036,2109.0065
456.2918,1554.2888,13,1255.9643,2108.5226
460.8141,1569.5375,12.97,1272.9557,2134.5846
465.1443,1579.3605,12.58,1285.3228,2142.0611
470.428,1596.2876,11.77,1302.4256,2172.5332
475.1162,1632.2513,11.06,1326.4164,2211.5659
472.4811,1626.4795,10.61,1325.3153,2202.0277
476.6542,1628.7183,10.5,1330.7154,2213.252
483.2645,1638.5865,10.5,1343.2981,2218.756
482.9894,1665.0308,10.5,1347.288,2230.9064
483.8545,1666.2169,10.31,1358.6003,2243.1898
484.3941,1687.0975,9.78,1374.294,2267.6121
485.3846,1689.1108,9.5,1380.9148,2268.9683
486.1191,1698.2598,9.5,1388.9489,2272.659
490.4001,1720.5675,9.5,1405.677,2303.5271
489.9881,1730.1415,9.5,1410.7077,2309.9576
495.0879,1751.4485,9.5,1426.5534,2356.0063
500.597,1782.155,9.5,1449.7786,2407.6734
500.0338,1773.7693,9.5,1459.4866,2404.9407
501.7251,1765.1168,9.5,1458.8369,2403.092
508.3436,1775.7193,9.1,1476.4689,2421.8887
511.6836,1798.3045,8.83,1484.3139,2445.2029
511.2438,1794.7632,8.5,1489.5157,2437.2244
513.3077,1815.6665,8.5,1499.1057,2447.0548
511.4799,1829.7981,8.16,1506.2066,2468.5093
511.4246,1844.6966,7.9,1513.3302,2487.8735
513.6067,1864.3024,7.5,1529.0532,2523.3144
514.464,1872.3519,7.5,1532.1842,2530.3306
521.9787,1901.6203,7.5,1546.7642,2566.6167
540.9673,1947.0516,7.5,1585.8619,2626.9782
548.0679,1930.6827,7.5,1603.7296,2636.3389
547.4628,1915.8068,7.5,1598.1345,2624.2351
551.2035,1927.3881,7.5,1607.9337,2635.4601
553.7675,1949.561,7.75,1631.5002,2669.6899
555.1597,1938.0872,8.14,1637.1969,2667.2629
556.7288,1954.5854,8.25,1646.9841,2670.7532
552.098,1950.539,8.25,1645.7964,2661.6693
550.7233,1952.0519,8.25,1655.0914,2674.0255
557.0195,1965.0137,8.7,1677.4213,2713.7495
560.2135,1979.907,9.07,1691.3279,2740.7569
560.9244,1991.108,8.78,1692.5194,2744.8787
566.5206,2007.7672,8.75,1706.478,2761.7511
565.7276,2010.8688,8.75,1715.3645,2767.0383
568.3614,2002.5107,8.51,1720.5476,2765.9783
574.0948,2008.8903,8.5,1732.2486,2772.0245
581.6184,2031.7556,8.5,1754.4223,2807.4456
587.5862,2036.9886,8.84,1772.5103,2823.3378
591.1796,2057.9417,9,1788.9053,2851.9283
592.7022,2066.8775,9.29,1797.4898,2863.1603
591.5174,2065.5445,9.84,1807.5736,2863.075
591.2183,2077.4532,10,1813.9251,2883.6892
596.66,2094.4116,10,1828.7322,2907.0612
599.9527,2112.9063,10.05,1839.7515,2930.7322
605.7564,2138.5483,10.5,1856.7825,2956.8733
604.1324,2137.0693,10.5,1855.1798,2954.6429
616.6014,2132.1576,10.93,1876.0845,2970.7701
619.1875,2140.334,11.5,1882.3253,2973.5395
623.4407,2159.0087,11.5,1896.5692,2987.5212
628.1248,2146.6427,11.5,1908.7017,2999.1205
626.4638,2154.8613,11.07,1923.4706,3009.7274
629.9924,2176.6339,10.98,1937.3493,3036.0006
